date,date,total_ed_attendance,total_admissions_from_ed,air_temp_ave,air_temp_min,air_temp_max,relative_humidity_percrh,pm10_ugm3,pm2_5_ugm3,nitrogen_dioxide_ug_m3,nitric_oxide_ug_m3,ozone_ug_m3,sulphur_dioxide_ug_m3,pos_virus_perc,phe_resp_virus_tests_total
2014-06-04,2014-06-04,12,3,10.83,8.4,13.9,75.5,9.0,6.0,30.0,11.0,41.0,2.0,0.16666666666666666,6
2014-06-05,2014-06-05,7,3,12.43,9.0,15.6,71.9,15.0,9.0,30.0,13.0,41.0,2.0,0.0,4
2014-06-06,2014-06-06,6,4,16.5,10.4,21.4,79.1,19.0,11.0,30.0,10.0,54.0,2.0,0.0,4
2014-06-07,2014-06-07,12,7,17.02,14.6,19.4,68.3,22.0,14.0,35.0,11.0,47.0,2.0,0.09090909090909091,11
2014-06-08,2014-06-08,13,9,17.4,13.4,21.3,83.2,14.0,10.0,23.0,6.0,47.0,1.0,0.0,0
2014-06-09,2014-06-09,8,4,17.0,14.9,21.2,84.2,17.0,11.0,37.0,12.0,34.0,2.0,0.0,0
2014-06-10,2014-06-10,13,10,15.1,13.2,16.8,70.4,18.0,10.0,23.0,8.0,49.0,2.0,0.5,6
2014-06-11,2014-06-11,9,3,15.4,12.3,18.1,69.9,21.0,12.0,24.0,9.0,45.0,1.0,0.0,0
2014-06-12,2014-06-12,14,8,16.4,12.5,21.0,63.5,20.0,13.0,36.0,11.0,52.0,2.0,0.5555555555555556,9
2014-06-13,2014-06-13,7,6,16.0,14.0,21.3,63.4,18.0,13.0,26.0,7.0,51.0,2.0,0.0,0
2014-06-14,2014-06-14,14,10,16.0,14.0,21.3,64.1,14.0,11.0,13.0,2.0,48.0,2.0,0.13333333333333333,15
2014-06-15,2014-06-15,11,9,16.0,14.0,21.3,76.5,9.0,7.0,8.0,2.0,43.0,1.0,0.0,0
2014-06-16,2014-06-16,19,13,16.0,14.0,21.3,40.2,13.0,9.0,16.0,3.0,39.0,2.0,0.14285714285714285,7
2014-06-17,2014-06-17,9,5,19.8,19.1,20.4,66.6,17.0,10.0,14.0,3.0,52.0,1.0,0.1,10
2014-06-18,2014-06-18,8,3,17.9,14.7,21.9,70.0,12.0,9.0,19.0,9.0,33.0,1.0,0.5555555555555556,9
2014-06-19,2014-06-19,10,7,20.6,18.1,22.9,69.9,19.0,15.0,20.0,17.0,25.0,2.0,0.25,8
2014-06-20,2014-06-20,12,10,16.9,14.6,18.7,70.3,17.0,12.0,26.0,15.0,31.0,2.0,0.0,0
2014-06-21,2014-06-21,19,14,19.9,19.4,20.8,78.7,18.0,13.0,33.0,11.0,45.0,2.0,0.2,10
2014-06-22,2014-06-22,8,1,19.9,19.4,20.8,81.1,22.0,17.0,26.0,5.0,59.0,2.0,0.0,0
2014-06-23,2014-06-23,15,9,20.0,17.5,22.1,73.4,18.0,14.0,36.0,13.0,41.0,3.0,0.07692307692307693,13
2014-06-24,2014-06-24,7,4,18.4,17.7,19.4,70.8,17.0,13.0,16.0,3.0,53.0,2.0,0.5,2
2014-06-25,2014-06-25,9,6,15.6,15.1,16.1,74.2,13.0,8.0,21.0,6.0,53.0,2.0,0.16666666666666666,6
2014-06-26,2014-06-26,6,3,15.6,15.1,16.1,75.0,19.0,12.0,32.0,9.0,54.0,2.0,0.2222222222222222,9
2014-06-27,2014-06-27,8,5,15.6,15.1,16.1,70.4,17.0,10.0,18.0,9.0,43.0,1.0,0.14285714285714285,7
2014-06-28,2014-06-28,14,9,15.6,15.1,16.1,82.8,14.0,9.0,23.0,9.0,32.0,2.0,0.125,8
2014-06-29,2014-06-29,11,7,15.6,15.1,16.1,74.3,14.0,10.0,14.0,2.0,49.0,1.0,0.0,0
2014-06-30,2014-06-30,13,6,15.6,15.1,16.1,73.4,16.0,11.0,29.0,10.0,49.0,1.0,0.0,6
2014-07-01,2014-07-01,14,5,17.6,15.9,18.6,70.8,20.0,13.0,34.0,10.0,47.0,1.0,0.0,9
2014-07-02,2014-07-02,11,9,16.2,12.8,20.1,74.2,17.0,13.0,33.0,14.0,45.0,1.0,0.0,0
2014-07-03,2014-07-03,12,7,17.5,13.6,20.8,74.9,18.0,13.0,25.0,9.0,56.0,2.0,0.2222222222222222,9
2014-07-04,2014-07-04,12,9,16.6,14.6,18.9,82.6,15.0,10.0,18.0,8.0,42.0,2.0,0.3,10
2014-07-05,2014-07-05,15,8,16.5,15.6,18.9,74.2,14.0,8.0,23.0,12.0,34.0,1.0,0.0,4
2014-07-06,2014-07-06,12,8,15.3,12.8,18.2,71.0,12.0,7.0,18.0,6.0,36.0,2.0,0.0,0
2014-07-07,2014-07-07,9,8,15.3,11.5,18.0,71.9,15.0,9.0,23.0,11.0,35.0,1.0,0.0,5
2014-07-08,2014-07-08,11,7,15.2,12.7,19.4,70.1,13.0,9.0,22.0,5.0,35.0,1.0,0.0,5
2014-07-09,2014-07-09,6,4,16.5,11.5,20.9,69.5,15.0,9.0,12.0,3.0,52.0,1.0,0.14285714285714285,7
2014-07-10,2014-07-10,17,8,18.4,13.0,23.4,69.6,15.0,10.0,16.0,4.0,53.0,1.0,0.2222222222222222,9
2014-07-11,2014-07-11,10,4,18.4,14.3,21.5,69.7,18.0,14.0,27.0,5.0,40.0,2.0,0.0,5
2014-07-12,2014-07-12,11,9,19.1,15.3,23.4,67.6,19.0,13.0,18.0,6.0,40.0,1.0,0.0,0
